Open,High,Low,Close,Volume,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_macd_diff,trend_adx,momentum_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_roc,volatility_atr,volatility_bbw,volume_obv,volume_vwap,volume_mfi
201.8950042724609,203.22000122070312,201.25999450683597,202.83990478515625,3499442,202.83990478515625,202.83990478515625,202.83990478515625,202.83990478515625,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3499442,202.4399668375651,50.0
202.8134002685547,202.88999938964844,202.13999938964844,202.28500366210935,1001258,202.5624542236328,202.5624542236328,202.7545353816106,202.79880099826389,-0.035412493322633,0.0,0.0,0.0,0.0,0.0,0.0,0.547881516516633,2498184,202.4396036175428,0.0
202.3000030517578,202.52999877929688,201.92999267578125,202.19000244140625,710984,202.43830362955728,202.43830362955728,202.6676841600407,202.75370480886704,-0.0617340203965522,0.0,0.0,0.0,0.0,0.0,0.0,0.5663180170147856,1787200,202.40919002155687,0.0
202.2250061035156,202.5800018310547,202.0901031494141,202.5050048828125,626628,202.4549789428711,202.4549789428711,202.6426565789287,202.73528259212227,-0.0546715078110501,0.0,35.727584742357976,0.0,0.0,0.0,0.0,0.4937142992724718,2413828,202.4073131645089,26.79631416541456
202.5050048828125,203.1300048828125,202.4454040527344,202.83999633789065,844804,202.531982421875,202.531982421875,202.6730165418459,202.7430391658829,-0.0256544949235483,0.0,54.39001141690673,0.0,0.0,0.0,0.0,0.5360690888134899,3258632,202.45760131675863,46.25276413348313
202.8500061035156,202.9600067138672,202.6499938964844,202.79739379882807,743748,202.5762176513672,202.5762176513672,202.69215150445856,202.74706543498996,-0.0084366411343393,0.0,52.30977459196989,0.0,0.0,0.0,0.0,0.5267983852990421,2514884,202.492136960364,37.48232553547115
202.8500061035156,202.9900054931641,202.5800018310547,202.7700042724609,642035,202.60390145438055,202.60390145438055,202.704128853382,202.74876460813596,0.0014732277144834,0.0,50.96031629660229,0.0,0.0,0.0,0.0,0.5056975336749747,1872849,202.51504226980927,32.21044942252382
202.80999755859372,202.8800048828125,202.1000061035156,202.13999938964844,685188,202.54591369628903,202.54591369628903,202.6173397051153,202.703670888248,-0.032177760531409,0.0,31.09176863302821,0.0,0.0,0.0,0.0,0.5618648430655783,1187661,202.50395089124123,28.013907482763813
202.13499450683597,202.3999938964844,202.02999877929688,202.0800018310547,669890,202.49414571126303,202.49414571126303,202.5346723398752,202.65747318030776,-0.0549179342650274,0.0,29.896332789790947,0.0,0.0,0.0,0.0,0.6036693740195361,517771,202.48021233700464,24.851585766722067
202.07000732421875,202.1999969482422,201.75999450683597,201.9499969482422,615728,202.43973083496093,202.43973083496093,202.444722279624,202.6050675334881,-0.073969878157271,0.0,27.434863515404277,0.0,0.0,0.0,0.6794525146484375,0.6574137240664324,-97957,202.448921138511,22.51754246231566
201.94500732421875,202.0399932861328,201.68499755859372,201.72000122070312,644857,202.3743008700284,202.3743008700284,202.3332267320977,202.5395070658744,-0.0959239664558934,0.0,23.71487108834971,0.0,0.0,0.0,0.6470068359375,0.7486022348337471,-742814,202.4106612464189,20.502421775461823
201.72000122070312,201.72999572753903,201.42999267578125,201.58009338378903,708354,202.3081169128418,202.3081169128418,202.21736006312716,202.46843938571996,-0.1125783642175927,0.0,21.780196192902537,0.0,0.0,0.0,0.6123064575195312,0.8380944207772584,-1451168,202.35901661872768,18.66930851587932
201.58999633789065,201.66000366210935,200.97000122070312,201.3300018310547,1050903,202.18229166666663,202.23287729116583,202.08084341203903,202.38411067796696,-0.1318130460421533,0.0,18.823955565106715,0.0,0.0,-0.7443816125336974,0.620076055908203,0.9563548741081794,-2502071,202.27126997681685,16.485396044182465
201.32000732421875,201.9501953125,201.2949981689453,201.8600006103516,689140,202.1468747456869,202.20624324253623,202.04686759639483,202.34528770999543,-0.101572714971882,0.0,38.022644260637534,0.0,0.0,-0.2101011167727116,0.6235881646728515,0.9410608861893076,-1812931,202.2413839595314,22.44585289328045
201.85020446777344,201.88999938964844,201.52999877929688,201.58990478515625,492231,202.096866607666,202.16515401204427,201.97656562543503,202.2893334192666,-0.0927363161622582,0.0,33.65434387427753,0.0,0.0,-0.2967988768009959,0.5972294092407225,0.9588658913338046,-2305162,202.14497645613943,21.357283211449783
201.5850067138672,201.6000061035156,201.25,201.28500366210935,490466,201.99519983927408,202.1101446151733,201.8701714772311,202.21493862244012,-0.0997885340318011,0.0,29.52996172372613,0.5139719835047107,0.0,-0.6024548486636796,0.5725070786682128,1.0199116026445183,-2795628,202.07532064863784,22.49963624724647
201.2899932861328,201.42599487304688,200.85499572753903,201.25999450683597,768509,201.86353302001956,202.06013578527117,201.77629809717035,202.1442020212843,-0.0983402503493827,0.0,29.213712690336976,0.4846050520884576,0.0,-0.77893998204512,0.5723562853521729,1.065985152826698,-3564137,201.99382108999248,22.37484856309473
201.2400054931641,201.2700042724609,201.0,201.19869995117188,399116,201.73030853271484,202.01227823893228,201.6874368439398,202.0741648309056,-0.0937314505609849,0.0,28.410639920853495,0.3682004704767063,0.4555925020232916,-0.7883207065481963,0.5421210840630494,1.107411345254958,-3963253,201.93202964959676,16.271210445480023
201.2100067138672,201.2400054931641,200.9550018310547,201.05490112304688,473535,201.58738327026367,201.9618899696752,201.5901236561101,201.99866381550865,-0.0924348983949734,0.0,26.56559945479121,0.26428775239032,0.3723644249851612,-0.8458367180924294,0.516409341867682,1.15830326626902,-4436788,201.806446389107,7.5909762637543
